export-0x7a250d5630b4cf539739df2c5dacb4c659f2488d
Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1897.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x3f68817afb2cc0657766567318dea5be25dab96aee92117fcfd7e62407417297,16308219,1672531559,2023-01-01 00:05:59,0x55a2f20b5f59ffbe85996dd1352094400cf8ef2e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.000307317762332055,0,0.583101649071218,0.003296606318215110,6.25494786211816,1200.10,,,Swap ETH For Exact Tokens,
0x2fc74a8a439ce183b68e8848cc208a6eede1975c7eacb737c42ffa668294fc29,16308220,1672531571,2023-01-01 00:06:11,0xe8c13c245c4de3bb9112984b368ceb9aab8e6e59,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.08325,0,157.9577175,0.000999188295190992,1.89584987941244,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0xd56b15de9858aa0eb3c2739b5bd86b7cd5e11116998b72b2700f8b85b9db4f18,16308220,1672531571,2023-01-01 00:06:11,0xc4d6cb8ca661bcae7c66351045dcc72085e77616,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.08325,0,157.9577175,0.000999188295190992,1.89584987941244,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0xcb5a0135bbdddeefe61e58a3b881f6198430d8d5cdb56a0b8cd8e7228c613c84,16308220,1672531571,2023-01-01 00:06:11,0x8e533dbe7b12af95a398b687d9e1d5903be8c938,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.11,0,208.7129,0.000822247501651482,1.56012418715851,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x422ae0f8acf317bd2c9081f32391d6611d1754247c677709df54fb6990e97404,16308220,1672531571,2023-01-01 00:06:11,0xd85acddf3fac3da4ec73a13af4b3425185b04519,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.032,0,60.71648,0.000814891261682133,1.54616653100306,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x9d8b2f31fd6fd3ace578d0b43e8f1eee461dc296ddc4684b50047153b8b7fa62,16308220,1672531571,2023-01-01 00:06:11,0xbeb68b6d420b81e1b12caaa570a62c9870db88e3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.08,0,151.7912,0.000752999194756368,1.42873314213879,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0xb80bdfb6fda2c2ed08361613ccacd774ccfb3ce7b4fe5ba35286c04941f8c421,16308220,1672531571,2023-01-01 00:06:11,0xd6ca5fb63f8bea2abfae1b7d015cda459997f9c3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.08,0,151.7912,0.000752999194756368,1.42873314213879,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x626f6226d43211083df99e1f2d95620c66c6662e5631854d78fc3ffda298134f,16308220,1672531571,2023-01-01 00:06:11,0xb446af9f25a7c2ee75706b15149a4a54dfb9d338,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.0555,0,105.305145,0.000753589261712784,1.42985272928122,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x3a42846666ecc195f5d14fac18df48e9b8681ef8506e1578a86a01bf32873935,16308220,1672531571,2023-01-01 00:06:11,0xf8efd62b7f6e397a387a7fb232a54fe8f59c6b2a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.069,0,130.91991,0.000753589261712784,1.42985272928122,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x7d828c545a37a6e6ad65c62e8e66563f59c55769c01fc14fcbf0857ce380c496,16308220,1672531571,2023-01-01 00:06:11,0xa5a5d38366c213b1c8caea7107321937b412c700,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.075,0,142.30425,0.000753294228234576,1.42929293571,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x8302922ef47604124a6c6b086fd01db0bba98e78a57e04fdec6d115c760a4b10,16308220,1672531571,2023-01-01 00:06:11,0xf696552c072a500b6ddfbac064d465e16e1aafdb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.069,0,130.91991,0.000753589261712784,1.42985272928122,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
